userName,score,at,content,sentiment,topics
Front Man's Evil Twin,1,2025-03-05 21:47:53,imagine waiting 1 hour to get a rider,Negative,Rider Performance
Jasper Santiago,1,2025-03-05 19:30:03,I cant believe i got a booking just to get cancelled and havent got single book for half an hour!!!!!,Negative,Booking Experience
Sophia Basco,5,2025-03-05 19:05:02,App is reliable. Good costumer service repsonse.,Positive,"App Performance, Customer Service"
Angela Refe,5,2025-03-05 18:43:08,Nice and smooth transactions. Safe,Positive,Payment
shea mediavillo,5,2025-03-05 18:29:46,safe and kind riders.,Positive,Rider Performance
Akeem Apura,5,2025-03-05 17:40:11,So far no issues encountered. Everything's good,Positive,Generic
Angel Mae Cabungcal,5,2025-03-05 17:32:29,great app!!,Positive,"App Performance, Generic"
Hima,5,2025-03-05 16:16:15,The app is good and it helps a lot when you're in a rush. It is very convenient.,Positive,"App Performance, Generic"
kittykatkat Dela Cruz,5,2025-03-05 15:54:25,Very convinient and safe all goods using the angkas app.,Positive,App Performance
Jonalyn Ponpon elacion,5,2025-03-05 15:39:01,Mga mababait po Ang mga rider at magalang at msingay dn po cla,Negative,Rider Performance
JETYLINE SACPA,5,2025-03-05 15:02:24,"Angkas is convenience for quick travel in traffic, affordable pricing and reliable rider.",Positive,"Rider Performance, Pricing"
DORCHESTER,5,2025-03-05 13:50:23,Great app and safety drivers,Positive,"App Performance, Rider Performance"
Vincent David (Vincent),5,2025-03-05 13:29:17,Very Reliable and all drives are well educated,Positive,Rider Performance
Benjamin Agacite,5,2025-03-05 12:38:44,So far maganda Ang experience ko sa Angkas.. they make sure Naman na safe Lage Ako nakakarating. Thanks Angkas!,Positive,Rider Performance
Lerio Botoy,5,2025-03-05 11:58:36,angkas com. is excellent...,Positive,Generic
Shane Alexis Magsino,5,2025-03-05 11:28:04,"Excellent service! Fast, reliable, and super convenient. The riders are professional and always get me to my destination safely. Highly recommended! ⭐⭐⭐⭐⭐",Positive,"Rider Performance, Generic"
kim gan,5,2025-03-05 10:48:20,"Always very easy to use, no matter wat time or weather..very easy makakuha ng rider ..",Positive,"Booking Experience, Rider Performance"
eldrene maquiling,1,2025-03-05 05:17:46,no OTP,Negative,App Performance
John Rey Pilar,5,2025-03-04 19:32:37,Very helpful application and service.,Positive,"App Performance, Generic"
Mark Anthony Dafrosa,5,2025-03-04 17:54:05,"After the app updates, the booking process has improved. Was able to book more faster, so far and satisfied with the service. Very convinient app for night shift workers like me.",Positive,"Booking Experience, App Performance"
Jho,5,2025-03-04 17:36:47,"Recommended courier & mode of transpo, very helpful and convenient. Thanks Angkas!",Positive,Rider Performance
Abigail Guab,5,2025-03-04 15:53:54,Mababait ang mga riders at hindi rin matagal mkahap ng rider sa app. At sa price mas affordable ang angkas kesa sa darkblue at sa red app kaya Lagi kong gamit ang angkas pang transpo..,Positive,"Rider Performance, App Performance, Pricing"
Anne Mariel Maritana,5,2025-03-04 15:44:44,Highly recommended!!,Positive,Generic
Micaella Dawat,1,2025-03-04 15:28:21,matagal na akong nag pasa ng requirements for student discount til now wala pa din,Negative,"Customer Service, Promo Code"
Eddine Roy Gomez,5,2025-03-04 15:22:56,"Overall, great! Been using the app as my means of transportation for a while now, and proud to say, naging suki ko na ibang riders. Great app, great service, fantastic riders!",Positive,"App Performance, Rider Performance, Customer Service"
Kam Adrian Dimaculangan,5,2025-03-04 14:28:51,I use this on a daily to commute. Thanks to Angkas I have never been late to class.,Positive,Rider Performance
Anne Rivera,5,2025-03-04 13:54:13,great service,Positive,Generic
Amanda Mendoza,5,2025-03-04 13:02:53,"Generally the app is okay. Working smoothly... the only concerns I have is the fair.. it's more expensive than the other apps available... just want to raise this, I've seen angkas riders wearing a competitor's apparel that's why it's hard to recognize them..",Negative,"App Performance, Pricing, Rider Performance"
Allan Lopez,5,2025-03-04 11:48:19,Good experience,Positive,Generic
Harvey Jonathan Go,5,2025-03-04 11:03:55,Excellent,Positive,Generic
mariane delatorre,5,2025-03-04 10:48:22,"maaasahan at super bilis mag accept ng booking, thanks to angkas🫶",Positive,Booking Experience
Adrielle Ang,5,2025-03-04 10:22:14,ok naman,Positive,Generic
John Grey,1,2025-03-04 07:12:33,"long wait for riders to accept the booking. Also, riders often cancel the ride when they accept it.",Negative,"Rider Performance, Booking Experience"
Louie John Navarro,5,2025-03-04 03:14:46,Good,Positive,Generic
Dave Fadallan,5,2025-03-03 18:17:04,Their service are exceptional. Rates are way cheaper than its competitors.,Positive,"Pricing, Generic"
Ica Felipe,5,2025-03-03 17:44:18,"Changed my way of commute for the better. I prefer to use Angkas because of their respectful bikers. They are also PWD-friendly, with an impressive customer service. App is also user friendly.",Positive,"Rider Performance, Customer Service, App Performance"
Rap Castro,5,2025-03-03 16:39:57,Laking tulong para sa mga commuter na tulad kong need ng mabilisang byahe.,Positive,Generic
Ruel Laureaga (Uella Mareigh),5,2025-03-03 16:30:24,super helpful lalo na ung student discount at magaganda ung mga motor ng mga drivers,Positive,"Promo Code, Rider Performance"
